true_label,predicted_prob,predicted_label
1,0.46997878,0
1,0.6109966,1
1,0.383952,0
1,0.52197045,1
1,0.53851014,1
1,0.50784546,1
1,0.42365235,0
0,0.4880041,0
1,0.529067,1
1,0.41206774,0
1,0.59435105,1
1,0.5294412,1
1,0.5475921,1
1,0.5018258,1
1,0.5305855,1
1,0.5041339,1
0,0.3185315,0
0,0.37831149,0
0,0.5584175,1
0,0.5465259,1
1,0.41651365,0
0,0.15391971,0
0,0.16588724,0
1,0.4982589,0
1,0.6255579,1
1,0.5724747,1
1,0.61372775,1
1,0.41448674,0
0,0.20368388,0
1,0.53647506,1
1,0.6265604,1
0,0.4469004,0
0,0.54849184,1
0,0.47995147,0
0,0.4460875,0
1,0.5409136,1
1,0.4999652,0
0,0.4678199,0
0,0.542394,1
0,0.5004895,1
0,0.42910403,0
0,0.10907892,0
1,0.5116635,1
1,0.49730167,0
1,0.566069,1
1,0.5683504,1
1,0.54970723,1
0,0.46190414,0
0,0.14268516,0
0,0.18850644,0
1,0.51724243,1
1,0.50396794,1
1,0.5927161,1
1,0.40904891,0
1,0.54845166,1
1,0.584324,1
0,0.44948268,0
0,0.40620738,0
1,0.5501801,1
0,0.44889367,0
1,0.5535438,1
0,0.5175813,1
1,0.6703675,1
1,0.5263451,1
0,0.4161773,0
1,0.56446993,1
1,0.3981321,0
1,0.48788434,0
0,0.46176252,0
1,0.5060925,1
1,0.40608728,0
1,0.5529606,1
1,0.53187305,1
1,0.50574726,1
0,0.46114767,0
0,0.45135662,0
1,0.5551028,1
1,0.5228859,1
0,0.63556373,1
0,0.49498793,0
0,0.46210557,0
1,0.5263693,1
0,0.49927258,0
0,0.52553207,1
0,0.55775017,1
1,0.5405906,1
1,0.4144294,0
1,0.5232315,1
0,0.41329515,0
0,0.16455962,0
0,0.5061426,1
1,0.58128214,1
0,0.35936958,0
0,0.5846575,1
0,0.36430392,0
1,0.4229094,0
0,0.35258514,0
0,0.4100797,0
0,0.50718653,1
1,0.60133725,1
0,0.15797858,0
0,0.57193255,1
1,0.6898644,1
1,0.51990414,1
1,0.45491183,0
1,0.6819031,1
